procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,school_id_raw,school_id_clean,school_id_changed_flag,date_raw,date_clean,date_parse_method,date_ambiguous_flag,date_parse_error_flag,grain_raw,grain_clean,vendor_raw,vendor_clean,quantity_raw,unit_raw,quantity_kg,unit_clean,conversion_method,unit_inferred_flag,cost_raw,total_cost_numeric,cost_per_kg,payment_status_raw,payment_status_clean
MDM005964,2026-02-16,SCH0424,Singh Agro Group,Wheat,52.5,KGS,1575.0,Pending,sch_0424,SCH0424,True,2026/02/16,2026-02-16,ISO_FORMAT,False,False,Gehun,Wheat,S. Agro Works,Singh Agro Group,52.5,KGS,52.5,KG,DIRECT,False,1575,1575.0,30.0,Pending,Pending
MDM007657,2025-10-07,SCH0117,Singh Agro Group,Oil,46.6 kg,,5592.0,Pending,S0117,SCH0117,True,07-Oct-2025,2025-10-07,TEXT_MONTH,False,False,Oil,Oil,S. Agro Works,Singh Agro Group,46.6 kg,,46.6,KG,DIRECT,False,"Rs. 5,592",5592.0,120.0,Pending,Pending
MDM006963,2025-04-29,SCH0061,Kumar Enterprises,Oil,0.7120000000000001,Bags,4272.0,Paid,SCH-0061,SCH0061,True,04-29-2025,2025-04-29,DASH_MM_DD_YYYY,False,False,Oil,Oil,Kumar & Co.,Kumar Enterprises,0.7120000000000001,Bags,35.6,KG,BAGS_50KG_TO_KG,False,"₹4,272",4272.0,120.0,Paid,Paid
MDM000742,2026-03-20,SCH0076,Singh Agro Group,Pulses,34.2,KG,3078.0,Unknown,SCH0076,SCH0076,False,20-Mar-2026,2026-03-20,TEXT_MONTH,False,False,Pulses,Pulses,S. Agro Works,Singh Agro Group,34.2,KG,34.2,KG,DIRECT,False,"₹3,078",3078.0,89.99999999999999,,Unknown
MDM005298,2026-03-20,SCH0378,Kumar Enterprises,Oil,41000,g,4920.0,Pending,SCH0378,SCH0378,False,20/03/2026,2026-03-20,DASH_DD_MM_YYYY,False,False,Oil,Oil,Kumar Supplies,Kumar Enterprises,41000,g,41.0,KG,GRAMS_TO_KG,False,"4,920/-",4920.0,120.0,Pending,Pending
MDM011357,2026-02-06,SCH0105,Kumar Enterprises,Oil,52.2 kg,,6264.0,Unknown,sch0105,SCH0105,True,2026/02/06,2026-02-06,ISO_FORMAT,False,False,Cooking Oil,Oil,Kumar & Co.,Kumar Enterprises,52.2 kg,,52.2,KG,DIRECT,False,6264,6264.0,120.0,,Unknown
MDM004065,2025-07-30,SCH0421,Kumar Enterprises,Pulses,47.9,kg,4311.0,Pending,sch_0421,SCH0421,True,30.07.2025,2025-07-30,DOT_DD_MM_YYYY,False,False,Daal,Pulses,Kumar Supplies,Kumar Enterprises,47.9,kg,47.9,KG,DIRECT,False,"Rs. 4,311",4311.0,90.0,PENDING,Pending
MDM010975,2025-04-19,SCH0329,Singh Agro Group,Oil,16600,Grams,1992.0,Paid,SCH-0329,SCH0329,True,2025-04-19,2025-04-19,ISO_FORMAT,False,False,Mustard Oil,Oil,S. Agro Works,Singh Agro Group,16600,Grams,16.6,KG,GRAMS_TO_KG,False,1992,1992.0,119.99999999999999,Cleared,Paid
MDM002616,2026-02-10,SCH0295,Singh Agro Group,Pulses,17400,Grams,1566.0,Paid,SCH0295,SCH0295,False,2026-02-10,2026-02-10,ISO_FORMAT,False,False,Dal,Pulses,Singh Brothers,Singh Agro Group,17400,Grams,17.400000000000002,KG,GRAMS_TO_KG,False,"Rs. 1,566",1566.0,89.99999999999999,Paid,Paid
MDM009238,2026-02-09,SCH0053,Sharma Traders,Rice,31.1 kg,,1244.0,Paid,sch_0053,SCH0053,True,2026/02/09,2026-02-09,ISO_FORMAT,False,False,chawal,Rice,Sharma & Sons,Sharma Traders,31.1 kg,,31.1,KG,DIRECT,False,"1,244/-",1244.0,40.0,paid,Paid
MDM003882,2025-04-25,SCH0426,Goyal Mills,Wheat,28000,g,840.0,Paid,SCH0426,SCH0426,False,2025-04-25,2025-04-25,ISO_FORMAT,False,False,WHEAT,Wheat,Goyal Rice Mill,Goyal Mills,28000,g,28.0,KG,GRAMS_TO_KG,False,Rs. 840,840.0,30.0,Paid,Paid
MDM005266,2025-04-04,SCH0494,Kumar Enterprises,Oil,48.1,kg,5772.0,Unknown,SCH0494,SCH0494,False,2025/04/04,2025-04-04,ISO_FORMAT,False,False,Cooking Oil,Oil,kumar general store,Kumar Enterprises,48.1,kg,48.1,KG,DIRECT,False,"5,772/-",5772.0,120.0,,Unknown
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,59.0 kg,,2360.0,Pending,SCH0113,SCH0113,False,21/01/2026,2026-01-21,DASH_DD_MM_YYYY,False,False,Chawal,Rice,Sharma Traders,Sharma Traders,59.0 kg,,59.0,KG,DIRECT,False,"2,360/-",2360.0,40.0,Pending,Pending
MDM011468,2026-03-24,SCH0094,Sharma Traders,Pulses,0.51,Sacks,2295.0,Pending,SCH0094,SCH0094,False,24.03.2026,2026-03-24,DOT_DD_MM_YYYY,False,False,Dal,Pulses,sharma traders pvt ltd,Sharma Traders,0.51,Sacks,25.5,KG,BAGS_50KG_TO_KG,False,"2,295/-",2295.0,90.0,Due,Pending
MDM006795,2026-03-20,SCH0445,Singh Agro Group,Rice,0.484,Sacks,968.0,Pending,SCH-0445,SCH0445,True,03-20-2026,2026-03-20,DASH_MM_DD_YYYY,False,False,Rice,Rice,S. Agro Works,Singh Agro Group,0.484,Sacks,24.2,KG,BAGS_50KG_TO_KG,False,968,968.0,40.0,PENDING,Pending
MDM000829,2025-05-22,SCH0445,Kumar Enterprises,Rice,42.2,kg,1688.0,Paid,sch_0445,SCH0445,True,2025/05/22,2025-05-22,ISO_FORMAT,False,False,RICE,Rice,Kumar Supplies,Kumar Enterprises,42.2,kg,42.2,KG,DIRECT,False,"Rs. 1,688",1688.0,40.0,paid,Paid
MDM009677,2026-01-25,SCH0201,Singh Agro Group,Oil,48.4 kg,,5808.0,Unknown,SCH0201,SCH0201,False,25-Jan-2026,2026-01-25,TEXT_MONTH,False,False,Sarson Tel,Oil,Singh Brothers,Singh Agro Group,48.4 kg,,48.4,KG,DIRECT,False,5808,5808.0,120.0,,Unknown
MDM004339,2025-05-11,SCH0340,Goyal Mills,Oil,0.328,Bags,1967.0,Paid,SCH0340,SCH0340,False,2025/05/11,2025-05-11,ISO_FORMAT,False,False,Oil,Oil,Goyal Enterprises,Goyal Mills,0.328,Bags,16.400000000000002,KG,BAGS_50KG_TO_KG,False,1967,1967.0,119.93902439024389,paid,Paid
MDM007788,2025-05-06,SCH0018,Singh Agro Group,Oil,1.062,Sacks,6372.0,Pending,SCH0018,SCH0018,False,06-May-2025,2025-05-06,TEXT_MONTH,False,False,Oil,Oil,Singh Agro,Singh Agro Group,1.062,Sacks,53.1,KG,BAGS_50KG_TO_KG,False,6372,6372.0,120.0,Pending,Pending
MDM008820,2026-01-26,SCH0419,Goyal Mills,Wheat,15.8 kg,,474.0,Pending,SCH0419,SCH0419,False,2026/01/26,2026-01-26,ISO_FORMAT,False,False,Gehun,Wheat,Goyal Enterprises,Goyal Mills,15.8 kg,,15.8,KG,DIRECT,False,₹474,474.0,30.0,Due,Pending
MDM001458,2025-12-29,SCH0216,Sharma Traders,Wheat,59.6,kg,1788.0,Unknown,sch_0216,SCH0216,True,29.12.2025,2025-12-29,DOT_DD_MM_YYYY,False,False,Wheat,Wheat,Sharma & Sons,Sharma Traders,59.6,kg,59.6,KG,DIRECT,False,1788,1788.0,30.0,,Unknown
MDM002665,2025-10-12,SCH0245,Kumar Enterprises,Oil,0.382,Bags,2292.0,Unknown,S0245,SCH0245,True,2025/10/12,2025-10-12,ISO_FORMAT,False,False,Sarson Tel,Oil,Kumar Supplies,Kumar Enterprises,0.382,Bags,19.1,KG,BAGS_50KG_TO_KG,False,2292,2292.0,119.99999999999999,,Unknown
MDM005509,2025-08-03,SCH0023,Kumar Enterprises,Pulses,,,4608.0,Pending,sch0023,SCH0023,True,03-Aug-2025,2025-08-03,TEXT_MONTH,False,False,Lentils,Pulses,Kumar Supplies,Kumar Enterprises,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"4,608/-",4608.0,,PENDING,Pending
MDM000750,2025-11-26,SCH0306,Kumar Enterprises,Pulses,,,3402.0,Paid,0306,SCH0306,True,26.11.2025,2025-11-26,DOT_DD_MM_YYYY,False,False,Dal,Pulses,Kumar Supplies,Kumar Enterprises,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"3,402/-",3402.0,,Paid,Paid
MDM006299,2025-11-25,SCH0566,Goyal Mills,Pulses,40,KG,3600.0,Pending,SCH-0566,SCH0566,True,2025/11/25,2025-11-25,ISO_FORMAT,False,False,Lentils,Pulses,goyal mill,Goyal Mills,40,KG,40.0,KG,DIRECT,False,3600,3600.0,90.0,Due,Pending
MDM006692,2025-07-16,SCH0476,Singh Agro Group,Oil,49600,Grams,5952.0,Unknown,SCH-0476,SCH0476,True,2025/07/16,2025-07-16,ISO_FORMAT,False,False,Oil,Oil,Singh Agro,Singh Agro Group,49600,Grams,49.6,KG,GRAMS_TO_KG,False,"5,952/-",5952.0,120.0,,Unknown
MDM008599,2025-06-29,SCH0259,Singh Agro Group,Pulses,35100,g,3159.0,Pending,SCH0259,SCH0259,False,2025-06-29,2025-06-29,ISO_FORMAT,False,False,dal,Pulses,S. Agro Works,Singh Agro Group,35100,g,35.1,KG,GRAMS_TO_KG,False,"₹3,159",3159.0,90.0,Pending,Pending
MDM009422,2026-12-03,SCH0187,Goyal Mills,Pulses,47.3 kg,,4257.0,Paid,SCH-0187,SCH0187,True,12/03/2026,2026-12-03,DASH_MM_DD_AMBIGUOUS,True,False,Pulses,Pulses,Goyal Enterprises,Goyal Mills,47.3 kg,,47.3,KG,DIRECT,False,4257,4257.0,90.0,Paid,Paid
MDM004886,2025-07-29,SCH0558,Singh Agro Group,Wheat,,,1329.0,Pending,sch_0558,SCH0558,True,07-29-2025,2025-07-29,DASH_MM_DD_YYYY,False,False,gehun,Wheat,Singh Brothers,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"1,329/-",1329.0,,Due,Pending
MDM011213,2026-03-19,SCH0058,Singh Agro Group,Wheat,55.7 kg,,1671.0,Pending,SCH0058,SCH0058,False,19/03/2026,2026-03-19,DASH_DD_MM_YYYY,False,False,WHEAT,Wheat,Singh Brothers,Singh Agro Group,55.7 kg,,55.7,KG,DIRECT,False,"₹1,671",1671.0,30.0,PENDING,Pending
MDM004194,2025-11-29,SCH0292,Goyal Mills,Oil,22.8 kg,,2736.0,Pending,sch_0292,SCH0292,True,29-Nov-2025,2025-11-29,TEXT_MONTH,False,False,Cooking Oil,Oil,Goyal Enterprises,Goyal Mills,22.8 kg,,22.8,KG,DIRECT,False,"2,736/-",2736.0,120.0,PENDING,Pending
MDM008415,2026-02-09,SCH0511,Kumar Enterprises,Oil,39200,Grams,4704.0,Pending,sch_0511,SCH0511,True,09.02.2026,2026-02-09,DOT_DD_MM_AMBIGUOUS,True,False,Cooking Oil,Oil,Kumar & Co.,Kumar Enterprises,39200,Grams,39.2,KG,GRAMS_TO_KG,False,4704,4704.0,119.99999999999999,Due,Pending
MDM009246,2025-06-11,SCH0342,Sharma Traders,Rice,,,820.0,Paid,SCH0342,SCH0342,False,11-Jun-2025,2025-06-11,TEXT_MONTH,False,False,Chawal,Rice,sharma traders pvt ltd,Sharma Traders,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,Rs. 820,820.0,,Paid,Paid
MDM007888,2025-10-18,SCH0098,Singh Agro Group,Wheat,57.9,Kgs,1737.0,Paid,SCH0098,SCH0098,False,2025-10-18,2025-10-18,ISO_FORMAT,False,False,Wheat,Wheat,Singh Brothers,Singh Agro Group,57.9,Kgs,57.9,KG,DIRECT,False,1737,1737.0,30.0,paid,Paid
MDM009609,2025-04-16,SCH0303,Goyal Mills,Oil,,,2676.0,Pending,SCH0303,SCH0303,False,16-Apr-2025,2025-04-16,TEXT_MONTH,False,False,Mustard Oil,Oil,goyal mill,Goyal Mills,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"2,676/-",2676.0,,Pending,Pending
MDM010676,2026-03-30,SCH0496,Kumar Enterprises,Pulses,0.274,Bori,1233.0,Pending,SCH0496,SCH0496,False,30.03.2026,2026-03-30,DOT_DD_MM_YYYY,False,False,Dal,Pulses,kumar general store,Kumar Enterprises,0.274,Bori,13.700000000000001,KG,BAGS_50KG_TO_KG,False,1233,1233.0,90.0,Due,Pending
MDM011630,2025-10-04,SCH0151,Sharma Traders,Oil,36.8,kg,4416.0,Pending,sch0151,SCH0151,True,2025-10-04,2025-10-04,ISO_FORMAT,False,False,Cooking Oil,Oil,sharma traders pvt ltd,Sharma Traders,36.8,kg,36.8,KG,DIRECT,False,"4,416/-",4416.0,120.00000000000001,PENDING,Pending
MDM005338,2026-02-25,SCH0547,Singh Agro Group,Wheat,44.6 kg,,,Unknown,SCH0547,SCH0547,False,25-Feb-2026,2026-02-25,TEXT_MONTH,False,False,Gehun,Wheat,Singh Agro,Singh Agro Group,44.6 kg,,44.6,KG,DIRECT,False,,,,,Unknown
MDM007986,2025-08-26,SCH0040,Kumar Enterprises,Wheat,,,1731.0,Unknown,sch0040,SCH0040,True,26/08/2025,2025-08-26,DASH_DD_MM_YYYY,False,False,WHEAT,Wheat,Kumar Supplies,Kumar Enterprises,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,1731,1731.0,,,Unknown
MDM000294,2026-01-12,SCH0358,Kumar Enterprises,Rice,37.7,KG,1508.0,Paid,SCH0358,SCH0358,False,2026/01/12,2026-01-12,ISO_FORMAT,False,False,Chawal,Rice,Kumar & Co.,Kumar Enterprises,37.7,KG,37.7,KG,DIRECT,False,1508,1508.0,40.0,Paid,Paid
MDM011862,2025-04-13,SCH0143,Singh Agro Group,Oil,,,6828.0,Pending,SCH0143,SCH0143,False,2025/04/13,2025-04-13,ISO_FORMAT,False,False,Mustard Oil,Oil,Singh Brothers,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"₹6,828",6828.0,,PENDING,Pending
MDM004314,2025-06-01,SCH0552,Sharma Traders,Pulses,,,4941.0,Paid,S0552,SCH0552,True,2025-06-01,2025-06-01,ISO_FORMAT,False,False,Pulses,Pulses,Sharma Traders,Sharma Traders,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,"4,941/-",4941.0,,Paid,Paid
MDM010212,2025-11-29,SCH0356,Singh Agro Group,Oil,0.226,Bags,1356.0,Pending,SCH-0356,SCH0356,True,29.11.2025,2025-11-29,DOT_DD_MM_YYYY,False,False,Cooking Oil,Oil,S. Agro Works,Singh Agro Group,0.226,Bags,11.3,KG,BAGS_50KG_TO_KG,False,1356,1356.0,119.99999999999999,PENDING,Pending
MDM004868,2026-01-13,SCH0146,Goyal Mills,Wheat,17400,g,522.0,Paid,SCH0146,SCH0146,False,2026/01/13,2026-01-13,ISO_FORMAT,False,False,Gehun,Wheat,Goyal Rice Mill,Goyal Mills,17400,g,17.400000000000002,KG,GRAMS_TO_KG,False,₹522,522.0,29.999999999999996,paid,Paid
MDM000312,2026-02-18,SCH0186,Singh Agro Group,Pulses,55.6 kg,,5004.0,Paid,SCH0186,SCH0186,False,18/02/2026,2026-02-18,DASH_DD_MM_YYYY,False,False,Pulses,Pulses,S. Agro Works,Singh Agro Group,55.6 kg,,55.6,KG,DIRECT,False,"5,004/-",5004.0,90.0,paid,Paid
MDM003317,2026-01-05,SCH0264,Kumar Enterprises,Wheat,53.2,KG,1596.0,Paid,0264,SCH0264,True,2026-01-05,2026-01-05,ISO_FORMAT,False,False,Wheat,Wheat,kumar general store,Kumar Enterprises,53.2,KG,53.2,KG,DIRECT,False,"1,596/-",1596.0,30.0,paid,Paid
MDM003586,2025-04-21,SCH0592,Kumar Enterprises,Oil,31.8,KG,3816.0,Paid,SCH-0592,SCH0592,True,21/04/2025,2025-04-21,DASH_DD_MM_YYYY,False,False,Sarson Tel,Oil,Kumar Supplies,Kumar Enterprises,31.8,KG,31.8,KG,DIRECT,False,"3,816/-",3816.0,120.0,paid,Paid
MDM009379,2025-07-29,SCH0474,Singh Agro Group,Oil,39.5,Kgs,4740.0,Paid,SCH0474,SCH0474,False,2025-07-29,2025-07-29,ISO_FORMAT,False,False,Oil,Oil,Singh Agro,Singh Agro Group,39.5,Kgs,39.5,KG,DIRECT,False,4740,4740.0,120.0,Paid,Paid
MDM000773,2026-02-10,SCH0418,Singh Agro Group,Oil,29.3,KGS,3516.0,Paid,SCH0418,SCH0418,False,2026-02-10,2026-02-10,ISO_FORMAT,False,False,Oil,Oil,Singh Agro,Singh Agro Group,29.3,KGS,29.3,KG,DIRECT,False,"3,516/-",3516.0,120.0,Cleared,Paid
MDM000928,2026-03-18,SCH0265,Goyal Mills,Rice,24,Kgs,960.0,Paid,S0265,SCH0265,True,2026/03/18,2026-03-18,ISO_FORMAT,False,False,Chawal,Rice,Goyal Rice Mill,Goyal Mills,24,Kgs,24.0,KG,DIRECT,False,960,960.0,40.0,Paid,Paid
MDM006158,2025-04-05,SCH0306,Sharma Traders,Wheat,55900,grams,1677.0,Pending,SCH0306,SCH0306,False,05.04.2025,2025-04-05,DOT_DD_MM_AMBIGUOUS,True,False,Gehun,Wheat,Sharma Traders,Sharma Traders,55900,grams,55.9,KG,GRAMS_TO_KG,False,"₹1,677",1677.0,30.0,Pending,Pending
MDM004954,2025-07-24,SCH0454,Goyal Mills,Wheat,1.044,50kg Bags,1566.0,Unknown,sch_0454,SCH0454,True,2025/07/24,2025-07-24,ISO_FORMAT,False,False,Atta,Wheat,Goyal Rice Mill,Goyal Mills,1.044,50kg Bags,52.2,KG,BAGS_50KG_TO_KG,False,"Rs. 1,566",1566.0,30.0,,Unknown
MDM005023,2025-11-29,SCH0445,Kumar Enterprises,Oil,1.134,Bags,6804.0,Pending,SCH0445,SCH0445,False,2025/11/29,2025-11-29,ISO_FORMAT,False,False,Sarson Tel,Oil,Kumar & Co.,Kumar Enterprises,1.134,Bags,56.699999999999996,KG,BAGS_50KG_TO_KG,False,"Rs. 6,804",6804.0,120.00000000000001,PENDING,Pending
MDM003892,2025-07-19,SCH0076,Sharma Traders,Oil,53.4,kg,,Pending,SCH0076,SCH0076,False,19.07.2025,2025-07-19,DOT_DD_MM_YYYY,False,False,Sarson Tel,Oil,sharma traders pvt ltd,Sharma Traders,53.4,kg,53.4,KG,DIRECT,False,,,,PENDING,Pending
MDM011857,2025-10-16,SCH0485,Kumar Enterprises,Pulses,15000,g,1350.0,Unknown,SCH0485,SCH0485,False,16-Oct-2025,2025-10-16,TEXT_MONTH,False,False,Pulses,Pulses,Kumar & Co.,Kumar Enterprises,15000,g,15.0,KG,GRAMS_TO_KG,False,1350,1350.0,90.0,,Unknown
MDM011989,2025-11-24,SCH0544,Kumar Enterprises,Oil,36500,grams,4380.0,Pending,sch0544,SCH0544,True,2025/11/24,2025-11-24,ISO_FORMAT,False,False,Mustard Oil,Oil,Kumar Supplies,Kumar Enterprises,36500,grams,36.5,KG,GRAMS_TO_KG,False,"₹4,380",4380.0,120.0,PENDING,Pending
MDM000305,2025-05-01,SCH0405,Singh Agro Group,Rice,,,712.0,Paid,SCH-0405,SCH0405,True,2025-05-01,2025-05-01,ISO_FORMAT,False,False,chawal,Rice,Singh Brothers,Singh Agro Group,,,,Unknown,MISSING_QUANTITY_AND_UNIT,True,712,712.0,,paid,Paid
MDM005759,2025-06-23,SCH0397,Goyal Mills,Wheat,37.2 kg,,1116.0,Paid,SCH0397,SCH0397,False,23.06.2025,2025-06-23,DOT_DD_MM_YYYY,False,False,gehun,Wheat,Goyal Enterprises,Goyal Mills,37.2 kg,,37.2,KG,DIRECT,False,"₹1,116",1116.0,29.999999999999996,Cleared,Paid
MDM006129,2025-11-24,SCH0561,Kumar Enterprises,Oil,59.7 kg,,7164.0,Paid,SCH0561,SCH0561,False,24/11/2025,2025-11-24,DASH_DD_MM_YYYY,False,False,Sarson Tel,Oil,kumar general store,Kumar Enterprises,59.7 kg,,59.7,KG,DIRECT,False,"₹7,164",7164.0,120.0,Cleared,Paid
