school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_raw,school_id_clean,school_id_changed_flag,district_raw,district_clean,block_raw,block_clean
SCH0034,Govt. Senior Secondary School Kumar,Bathinda,Bathinda,94,Upper Primary,Hindi,SCH0034,SCH0034,False,Bathinda,Bathinda,Bathinda,Bathinda
SCH0035,Govt. Elementary School Setty,Bathinda,Talwandi Sabo,168,Primary,Punjabi,SCH0035,SCH0035,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0036,Govt. Elementary School Solanki,Ludhiana,Doraha,434,Secondary,Punjabi,SCH0036,SCH0036,False,Ludhiana,Ludhiana,Doraha,Doraha
SCH0037,Govt. Middle School More,Ludhiana,Ludhiana-I,78,Upper Primary,Hindi,SCH0037,SCH0037,False,Ludhiana,Ludhiana,Ludhiana-I,Ludhiana-I
SCH0038,Govt. Senior Secondary School Mandal,Ferozepur,Zira,61,Primary,Punjabi,SCH0038,SCH0038,False,Ferozepur,Ferozepur,Zira,Zira
SCH0039,Govt. Senior Secondary School Baral,Moga,Nihal Singh Wala,357,Upper Primary,Punjabi,SCH0039,SCH0039,False,Moga,Moga,Nihal Singh Wala,Nihal Singh Wala
SCH0040,Govt. Primary School Gole,Jalandhar,Nakodar,440,Upper Primary,Punjabi,SCH0040,SCH0040,False,Jalandhar,Jalandhar,Nakodar,Nakodar
SCH0041,Govt. Senior Secondary School Kuruvilla,Sangrur,Sunam,142,Higher Secondary,Hindi,SCH0041,SCH0041,False,Sangrur,Sangrur,Sunam,Sunam
SCH0042,Govt. Elementary School Bhatnagar,Ferozepur,Makhu,182,Secondary,Hindi,SCH0042,SCH0042,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0043,Govt. Middle School Sachar,Moga,Unknown Block,99,Secondary,Hindi,SCH0043,SCH0043,False,Moga,Moga,,Unknown Block
SCH0044,Govt. Primary School Rajagopalan,Ferozepur,Makhu,413,Higher Secondary,Hindi,SCH0044,SCH0044,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0045,Govt. Senior Secondary School Divan,Patiala,Samana,62,Primary,Punjabi,SCH0045,SCH0045,False,Patiala,Patiala,Samana,Samana
SCH0046,Govt. Elementary School Mody,Moga,Bagha Purana,379,Secondary,English,SCH0046,SCH0046,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0047,Govt. Senior Secondary School Karpe,Jalandhar,Jalandhar-Ii,255,Higher Secondary,English,SCH0047,SCH0047,False,Jalandhar,Jalandhar,Jalandhar-II,Jalandhar-Ii
SCH0048,Govt. Middle School Chana,Ferozepur,Ferozepur,195,Higher Secondary,Punjabi,SCH0048,SCH0048,False,Ferozepur,Ferozepur,Ferozepur,Ferozepur
SCH0049,Govt. Middle School Purohit,Patiala,Rajpura,446,Upper Primary,Hindi,SCH0049,SCH0049,False,Patiala,Patiala,Rajpura,Rajpura
SCH0050,Govt. Senior Secondary School Tank,Moga,Moga-I,424,Secondary,Punjabi,SCH0050,SCH0050,False,Moga,Moga,Moga-I,Moga-I
SCH0051,Govt. Senior Secondary School Sarkar,Patiala,Rajpura,352,Primary,Punjabi,SCH0051,SCH0051,False,Patiala,Patiala,Rajpura,Rajpura
SCH0052,Govt. Primary School Kannan,Sangrur,Dhuri,164,Primary,Hindi,SCH0052,SCH0052,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0053,Govt. Elementary School Tailor,Jalandhar,Phillaur,65,Primary,Hindi,SCH0053,SCH0053,False,Jalandhar,Jalandhar,Phillaur,Phillaur
SCH0054,Govt. Elementary School Bajwa,Moga,Nihal Singh Wala,353,Higher Secondary,Punjabi,SCH0054,SCH0054,False,Moga,Moga,Nihal Singh Wala,Nihal Singh Wala
SCH0055,Govt. Elementary School Sem,Sangrur,Malerkotla,424,Secondary,English,SCH0055,SCH0055,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0056,Govt. Primary School Nagar,Sangrur,Sangrur,405,Secondary,Hindi,SCH0056,SCH0056,False,Sangrur,Sangrur,Sangrur,Sangrur
SCH0057,Govt. Elementary School Wagle,Ferozepur,Zira,401,Higher Secondary,Hindi,SCH0057,SCH0057,False,Ferozepur,Ferozepur,Zira,Zira
SCH0058,Govt. Elementary School Savant,Ferozepur,Mamdot,434,Primary,English,SCH0058,SCH0058,False,Ferozepur,Ferozepur,Mamdot,Mamdot
SCH0059,Govt. Middle School Barman,Bathinda,Talwandi Sabo,254,Upper Primary,Punjabi,SCH0059,SCH0059,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0060,Govt. Elementary School Srinivas,Ferozepur,Makhu,382,Higher Secondary,Hindi,SCH0060,SCH0060,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0061,Govt. Elementary School Dhawan,Ludhiana,Machhiwara,343,Primary,Punjabi,SCH0061,SCH0061,False,Ludhiana,Ludhiana,Machhiwara,Machhiwara
SCH0062,Govt. Middle School Pradhan,Jalandhar,Jalandhar-I,173,Upper Primary,Punjabi,SCH0062,SCH0062,False,Jalandhar,Jalandhar,Jalandhar-I,Jalandhar-I
SCH0063,Govt. Primary School Singhal,Bathinda,Talwandi Sabo,169,Higher Secondary,English,SCH0063,SCH0063,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0064,Govt. Senior Secondary School Nayar,Patiala,Patiala,439,Primary,Punjabi,SCH0064,SCH0064,False,Patiala,Patiala,Patiala,Patiala
SCH0065,Govt. Senior Secondary School Palla,Jalandhar,Jalandhar-Ii,104,Primary,English,SCH0065,SCH0065,False,Jalandhar,Jalandhar,Jalandhar-II,Jalandhar-Ii
SCH0066,Govt. Senior Secondary School Devan,Moga,Moga-Ii,350,Primary,Punjabi,SCH0066,SCH0066,False,Moga,Moga,Moga-II,Moga-Ii
SCH0067,Govt. Senior Secondary School Dewan,Ludhiana,Unknown Block,334,Higher Secondary,Hindi,SCH0067,SCH0067,False,Ludhiana,Ludhiana,,Unknown Block
SCH0068,Govt. Primary School Mangat,Amritsar,Ajnala,390,Primary,Punjabi,SCH0068,SCH0068,False,Amritsar,Amritsar,Ajnala,Ajnala
SCH0069,Govt. Elementary School Mital,Moga,Moga-I,299,Primary,English,SCH0069,SCH0069,False,Moga,Moga,Moga-I,Moga-I
SCH0070,Govt. Elementary School Nair,Sangrur,Sunam,262,Secondary,Hindi,SCH0070,SCH0070,False,Sangrur,Sangrur,Sunam,Sunam
SCH0071,Govt. Elementary School Comar,Bathinda,Rampura Phul,165,Primary,Punjabi,SCH0071,SCH0071,False,Bathinda,Bathinda,Rampura Phul,Rampura Phul
SCH0072,Govt. Senior Secondary School Sengupta,Ferozepur,Makhu,54,Secondary,English,SCH0072,SCH0072,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0073,Govt. Senior Secondary School Shah,Moga,Unknown Block,345,Secondary,Punjabi,SCH0073,SCH0073,False,Moga,Moga,,Unknown Block
SCH0074,Govt. Primary School Parmer,Sangrur,Unknown Block,393,Higher Secondary,Hindi,SCH0074,SCH0074,False,Sangrur,Sangrur,,Unknown Block
SCH0075,Govt. Middle School Mody,Ferozepur,Zira,196,Secondary,Hindi,SCH0075,SCH0075,False,Ferozepur,Ferozepur,Zira,Zira
SCH0076,Govt. Primary School Oommen,Moga,Bagha Purana,399,Secondary,English,SCH0076,SCH0076,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0077,Govt. Middle School Buch,Amritsar,Amritsar-Ii,138,Higher Secondary,Hindi,SCH0077,SCH0077,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi,SCH0078,SCH0078,False,Bathinda,Bathinda,Maur,Maur
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,Higher Secondary,Punjabi,SCH0079,SCH0079,False,Bathinda,Bathinda,Maur,Maur
SCH0080,Govt. Elementary School Roy,Sangrur,Dhuri,214,Primary,Punjabi,SCH0080,SCH0080,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0081,Govt. Middle School Batta,Ferozepur,Unknown Block,77,Primary,Hindi,SCH0081,SCH0081,False,Ferozepur,Ferozepur,,Unknown Block
SCH0082,Govt. Elementary School Mistry,Amritsar,Tarn Taran,350,Upper Primary,Punjabi,SCH0082,SCH0082,False,Amritsar,Amritsar,Tarn Taran,Tarn Taran
SCH0083,Govt. Primary School Dutta,Bathinda,Talwandi Sabo,196,Primary,Hindi,SCH0083,SCH0083,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0084,Govt. Primary School Wali,Patiala,Samana,378,Upper Primary,Punjabi,SCH0084,SCH0084,False,patiala,Patiala,Samana,Samana
SCH0085,Govt. Elementary School Bandi,Unknown District,Unknown Block,189,Secondary,Hindi,SCH0085,SCH0085,False,,Unknown District,,Unknown Block
SCH0086,Govt. Middle School Tata,Bathinda,Maur,257,Upper Primary,Punjabi,SCH0086,SCH0086,False,Bathinda,Bathinda,Maur,Maur
SCH0087,Govt. Elementary School Grewal,Ludhiana,Ludhiana-Ii,445,Secondary,Punjabi,SCH0087,SCH0087,False,Ludhiana,Ludhiana,Ludhiana-II,Ludhiana-Ii
SCH0088,Govt. Middle School Golla,Bathinda,Talwandi Sabo,264,Primary,Punjabi,SCH0088,SCH0088,False,bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0089,Govt. Middle School Krishnamurthy,Amritsar,Amritsar-Ii,385,Primary,Hindi,SCH0089,SCH0089,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0090,Govt. Elementary School Pingle,Sangrur,Dhuri,182,Higher Secondary,Punjabi,SCH0090,SCH0090,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0091,Govt. Middle School Soman,Moga,Nihal Singh Wala,210,Primary,Punjabi,SCH0091,SCH0091,False,Moga,Moga,Nihal Singh Wala,Nihal Singh Wala
SCH0092,Govt. Middle School Bawa,Bathinda,Talwandi Sabo,429,Higher Secondary,Punjabi,SCH0092,SCH0092,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0093,Govt. Elementary School Bora,Ludhiana,Machhiwara,251,Secondary,Punjabi,SCH0093,SCH0093,False,ludhiana,Ludhiana,Machhiwara,Machhiwara
SCH0094,Govt. Elementary School Pingle,Patiala,Samana,321,Secondary,Hindi,SCH0094,SCH0094,False,Patiala,Patiala,Samana,Samana
SCH0095,Govt. Primary School Kanda,Patiala,Nabha,199,Higher Secondary,Punjabi,SCH0095,SCH0095,False,Patiala,Patiala,Nabha,Nabha
SCH0096,Govt. Elementary School Walia,Jalandhar,Phillaur,406,Secondary,Hindi,SCH0096,SCH0096,False,Jalandhar,Jalandhar,Phillaur,Phillaur
SCH0097,Govt. Middle School Prakash,Sangrur,Sunam,236,Upper Primary,Punjabi,SCH0097,SCH0097,False,Sangrur,Sangrur,Sunam,Sunam
SCH0098,Govt. Elementary School Soman,Moga,Bagha Purana,41,Secondary,Punjabi,SCH0098,SCH0098,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0099,Govt. Middle School Korpal,Sangrur,Malerkotla,210,Higher Secondary,Hindi,SCH0099,SCH0099,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0100,Govt. Elementary School Sandal,Ferozepur,Zira,437,Secondary,Hindi,SCH0100,SCH0100,False,Ferozepur,Ferozepur,Zira,Zira
SCH0101,Govt. Elementary School Saxena,Sangrur,Unknown Block,104,Secondary,Punjabi,SCH0101,SCH0101,False,Sangrur,Sangrur,,Unknown Block
SCH0102,Govt. Middle School Kakar,Ludhiana,Ludhiana-Ii,249,Upper Primary,Punjabi,SCH0102,SCH0102,False,Ludhiana,Ludhiana,Ludhiana-II,Ludhiana-Ii
SCH0103,Govt. Elementary School Parsa,Amritsar,Ajnala,385,Higher Secondary,Punjabi,SCH0103,SCH0103,False,Amritsar,Amritsar,Ajnala,Ajnala
SCH0104,Govt. Primary School Chacko,Amritsar,Amritsar-Ii,363,Secondary,Punjabi,SCH0104,SCH0104,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0105,Govt. Primary School Desai,Amritsar,Tarn Taran,125,Primary,English,SCH0105,SCH0105,False,Amritsar,Amritsar,Tarn Taran,Tarn Taran
SCH0106,Govt. Primary School Shanker,Ferozepur,Zira,165,Upper Primary,Punjabi,SCH0106,SCH0106,False,Ferozepur,Ferozepur,Zira,Zira
SCH0107,Govt. Elementary School Krishna,Patiala,Rajpura,338,Higher Secondary,Punjabi,SCH0107,SCH0107,False,Patiala,Patiala,Rajpura,Rajpura
SCH0108,Govt. Middle School Warrior,Sangrur,Malerkotla,386,Primary,English,SCH0108,SCH0108,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0109,Govt. Elementary School Pradhan,Ferozepur,Makhu,273,Upper Primary,Punjabi,SCH0109,SCH0109,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,Punjabi,SCH0110,SCH0110,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi,SCH0111,SCH0111,False,Bathinda,Bathinda,Maur,Maur
SCH0112,Govt. Senior Secondary School Bhagat,Amritsar,Unknown Block,198,Primary,English,SCH0112,SCH0112,False,Amritsar,Amritsar,,Unknown Block
SCH0113,Govt. Middle School Subramaniam,Moga,Nihal Singh Wala,129,Secondary,English,SCH0113,SCH0113,False,Moga,Moga,Nihal Singh Wala,Nihal Singh Wala
SCH0114,Govt. Primary School Randhawa,Sangrur,Malerkotla,422,Primary,Hindi,SCH0114,SCH0114,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0115,Govt. Primary School Sachdev,Ferozepur,Makhu,86,Primary,English,SCH0115,SCH0115,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0116,Govt. Middle School Gandhi,Ferozepur,Makhu,95,Higher Secondary,Hindi,SCH0116,SCH0116,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0117,Govt. Primary School Reddy,Amritsar,Tarn Taran,398,Higher Secondary,English,SCH0117,SCH0117,False,Amritsar,Amritsar,Tarn Taran,Tarn Taran
SCH0118,Govt. Middle School Hari,Sangrur,Sangrur,89,Upper Primary,Hindi,SCH0118,SCH0118,False,Sangrur,Sangrur,Sangrur,Sangrur
SCH0119,Govt. Middle School Sur,Ferozepur,Unknown Block,252,Higher Secondary,English,SCH0119,SCH0119,False,Ferozepur,Ferozepur,,Unknown Block
SCH0120,Govt. Middle School Sharaf,Patiala,Rajpura,267,Secondary,English,SCH0120,SCH0120,False,Patiala,Patiala,Rajpura,Rajpura
SCH0121,Govt. Elementary School Deshmukh,Ludhiana,Unknown Block,181,Primary,Hindi,SCH0121,SCH0121,False,Ludhiana,Ludhiana,,Unknown Block
SCH0122,Govt. Senior Secondary School Ahluwalia,Ludhiana,Unknown Block,442,Upper Primary,Hindi,SCH0122,SCH0122,False,Ludhiana,Ludhiana,,Unknown Block
SCH0123,Govt. Primary School Cheema,Patiala,Nabha,159,Upper Primary,Hindi,SCH0123,SCH0123,False,Patiala,Patiala,Nabha,Nabha
SCH0124,Govt. Middle School Goda,Jalandhar,Nakodar,448,Primary,Hindi,SCH0124,SCH0124,False,Jalandhar,Jalandhar,Nakodar,Nakodar
SCH0125,Govt. Primary School Srivastava,Moga,Moga-I,129,Upper Primary,Punjabi,SCH0125,SCH0125,False,Moga,Moga,Moga-I,Moga-I
SCH0126,Govt. Primary School Pillay,Sangrur,Malerkotla,302,Higher Secondary,Hindi,SCH0126,SCH0126,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0127,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,369,Primary,Punjabi,SCH0127,SCH0127,False,Bathinda,Bathinda,Talwandi Sabo,Talwandi Sabo
SCH0128,Govt. Primary School Walla,Sangrur,Dhuri,77,Secondary,Hindi,SCH0128,SCH0128,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0129,Govt. Elementary School Malhotra,Moga,Unknown Block,345,Higher Secondary,Punjabi,SCH0129,SCH0129,False,Moga,Moga,,Unknown Block
SCH0130,Govt. Elementary School Mall,Patiala,Rajpura,271,Higher Secondary,Punjabi,SCH0130,SCH0130,False,Patiala,Patiala,Rajpura,Rajpura
SCH0131,Govt. Elementary School Dani,Moga,Unknown Block,200,Secondary,Punjabi,SCH0131,SCH0131,False,Moga,Moga,,Unknown Block
SCH0132,Govt. Primary School Rajagopal,Amritsar,Tarn Taran,89,Secondary,Hindi,SCH0132,SCH0132,False,Amritsar,Amritsar,Tarn Taran,Tarn Taran
SCH0133,Govt. Primary School Thakur,Moga,Moga-I,250,Higher Secondary,Hindi,SCH0133,SCH0133,False,Moga,Moga,Moga-I,Moga-I
SCH0134,Govt. Elementary School Suri,Bathinda,Rampura Phul,93,Upper Primary,Punjabi,SCH0134,SCH0134,False,Bathinda,Bathinda,Rampura Phul,Rampura Phul
SCH0135,Govt. Primary School Raghavan,Moga,Bagha Purana,98,Upper Primary,English,SCH0135,SCH0135,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0136,Govt. Middle School Banerjee,Ludhiana,Unknown Block,179,Secondary,Hindi,SCH0136,SCH0136,False,Ludhiana,Ludhiana,,Unknown Block
SCH0137,Govt. Senior Secondary School Dani,Ferozepur,Ferozepur,112,Primary,Punjabi,SCH0137,SCH0137,False,Ferozepur,Ferozepur,Ferozepur,Ferozepur
SCH0138,Govt. Primary School Gandhi,Moga,Moga-Ii,229,Secondary,Hindi,SCH0138,SCH0138,False,Moga,Moga,Moga-II,Moga-Ii
SCH0139,Govt. Elementary School Lata,Jalandhar,Jalandhar-I,385,Higher Secondary,Punjabi,SCH0139,SCH0139,False,jalandhar,Jalandhar,Jalandhar-I,Jalandhar-I
SCH0140,Govt. Middle School Garg,Bathinda,Maur,426,Secondary,Hindi,SCH0140,SCH0140,False,Bathinda,Bathinda,Maur,Maur
SCH0141,Govt. Middle School Sane,Sangrur,Malerkotla,63,Primary,Hindi,SCH0141,SCH0141,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0142,Govt. Senior Secondary School Badami,Bathinda,Rampura Phul,207,Higher Secondary,Hindi,SCH0142,SCH0142,False,Bathinda,Bathinda,Rampura Phul,Rampura Phul
SCH0143,Govt. Elementary School Venkataraman,Patiala,Samana,76,Primary,English,SCH0143,SCH0143,False,Patiala,Patiala,Samana,Samana
SCH0144,Govt. Primary School Bakshi,Ferozepur,Mamdot,403,Secondary,Hindi,SCH0144,SCH0144,False,Ferozepur,Ferozepur,Mamdot,Mamdot
SCH0145,Govt. Elementary School Kashyap,Sangrur,Malerkotla,85,Primary,Punjabi,SCH0145,SCH0145,False,Sangrur,Sangrur,Malerkotla,Malerkotla
SCH0146,Govt. Primary School Sundaram,Bathinda,Rampura Phul,153,Upper Primary,Hindi,SCH0146,SCH0146,False,Bathinda,Bathinda,Rampura Phul,Rampura Phul
SCH0147,Govt. Senior Secondary School Das,Moga,Bagha Purana,412,Upper Primary,Hindi,SCH0147,SCH0147,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0148,Govt. Elementary School Sastry,Jalandhar,Jalandhar-I,130,Higher Secondary,Hindi,SCH0148,SCH0148,False,Jalandhar,Jalandhar,Jalandhar-I,Jalandhar-I
SCH0149,Govt. Middle School Uppal,Moga,Bagha Purana,117,Higher Secondary,Hindi,SCH0149,SCH0149,False,Moga,Moga,Bagha Purana,Bagha Purana
SCH0150,Govt. Primary School Parikh,Ludhiana,Doraha,299,Higher Secondary,English,SCH0150,SCH0150,False,ludhiana,Ludhiana,Doraha,Doraha
SCH0151,Govt. Primary School Dugar,Amritsar,Amritsar-I,354,Higher Secondary,Hindi,SCH0151,SCH0151,False,Amritsar,Amritsar,Amritsar-I,Amritsar-I
SCH0152,Govt. Elementary School Dass,Patiala,Samana,349,Upper Primary,English,SCH0152,SCH0152,False,Patiala,Patiala,Samana,Samana
SCH0153,Govt. Senior Secondary School Vohra,Amritsar,Amritsar-Ii,60,Higher Secondary,English,SCH0153,SCH0153,False,Amritsar,Amritsar,Amritsar-II,Amritsar-Ii
SCH0154,Govt. Middle School Chakraborty,Ferozepur,Unknown Block,436,Primary,Punjabi,SCH0154,SCH0154,False,Ferozepur,Ferozepur,,Unknown Block
SCH0155,Govt. Senior Secondary School Chander,Ferozepur,Makhu,169,Upper Primary,English,SCH0155,SCH0155,False,Ferozepur,Ferozepur,Makhu,Makhu
SCH0156,Govt. Elementary School Barad,Ferozepur,Zira,344,Primary,English,SCH0156,SCH0156,False,Ferozepur,Ferozepur,Zira,Zira
SCH0157,Govt. Middle School Keer,Jalandhar,Jalandhar-I,370,Secondary,Hindi,SCH0157,SCH0157,False,Jalandhar,Jalandhar,Jalandhar-I,Jalandhar-I
SCH0158,Govt. Middle School Tella,Moga,Nihal Singh Wala,138,Upper Primary,Punjabi,SCH0158,SCH0158,False,Moga,Moga,Nihal Singh Wala,Nihal Singh Wala
SCH0159,Govt. Senior Secondary School Gade,Ludhiana,Doraha,432,Higher Secondary,Hindi,SCH0159,SCH0159,False,Ludhiana,Ludhiana,Doraha,Doraha
SCH0160,Govt. Middle School Munshi,Jalandhar,Phillaur,62,Upper Primary,Punjabi,SCH0160,SCH0160,False,Jalandhar,Jalandhar,Phillaur,Phillaur
SCH0161,Govt. Senior Secondary School Mand,Patiala,Nabha,198,Higher Secondary,Hindi,SCH0161,SCH0161,False,Patiala,Patiala,Nabha,Nabha
SCH0162,Govt. Elementary School Deshpande,Sangrur,Dhuri,433,Higher Secondary,Hindi,SCH0162,SCH0162,False,Sangrur,Sangrur,Dhuri,Dhuri
SCH0163,Govt. Primary School Ratta,Jalandhar,Nakodar,66,Secondary,Hindi,SCH0163,SCH0163,False,Jalandhar,Jalandhar,Nakodar,Nakodar
SCH0164,Govt. Senior Secondary School Barad,Amritsar,Ajnala,82,Secondary,Punjabi,SCH0164,SCH0164,False,Amritsar,Amritsar,Ajnala,Ajnala
